sol-sniper-bot  | {"level":"info","mint":"EjZZrjqfPWR6tton95hP1ahcMTgcT8Yv8QKtcn6Spump","buy_sol":0.1,"tip_sol":0.001,"time":1776069192971,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"rgxGMh8ESBTjs3VyqVC2JgLSA7nNQksrQ2QAMKGpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069208177,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"3ZpdAMc2NumSbR5u1dR9rJ5P5DDJNMjrJyvzjrf4pump","buy_sol":0.1,"tip_sol":0.001,"time":1776069208909,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"6x9HD94SH8E53CjnTM1HUTPEPdUjhGmpUD9YNQG9tJ1q","buy_sol":0.1,"tip_sol":0.001,"time":1776069218777,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"9dXc2bU1kBaDpMeyJLKRJUws9iJhtuVxY2vEGpxbpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069267729,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"6antLBi9J66u4LGGadBK2Tycj3KxMNFHK3MbYwRUpump","buy_sol":0.1,"tip_sol":0.002891316,"time":1776069306586,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"6Q3S7UVWuEu8j25eehZn9MdU68oH3iMdMUk1d197pump","buy_sol":0.1,"tip_sol":0.001,"time":1776069321148,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"HTEZKFM91DgHRMgFDJnq2zMzut1qnvQRw5ZTsQ92pump","buy_sol":0.1,"tip_sol":0.001,"time":1776069382807,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"AZBo1Yh6uLHeasS3hsefmZymMHCGwQtPncFFhk5vpump","buy_sol":0.1,"tip_sol":0.001,"time":1776069399836,"message":"executor: [SIM] bundle skipped — simulation mode"}
sol-sniper-bot  | {"level":"info","mint":"HvaY6X311g4hev4hamGu4okciWzLU5pRQtZEntqGpump","buy_sol":0.1,"tip_sol":0.003061922,"time":1776069406136,"message":"executor: [SIM] bundle skipped — simulation mode"}
