sol-sniper-bot  | {"level":"info","mint":"HCGVKXS5Sc28PgFFXfJZTrzyVXCHJmydJ3nDGrUzpump","trigger":"timeout","time":1776069978851,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"37eJsvXgyTAosZDpzeJjawtpidpzATr183diB2dJxrNu","trigger":"stop_loss","time":1776069988871,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"7e6i9AtvL4gqNR7YqrukyCxDt6EkHtwjbrrxKfdVpump","trigger":"stop_loss","time":1776069998896,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"H6t7MwXEdaz8nAsP57mcGEShqRmUy3j4habEhwYZfPGA","trigger":"stop_loss","time":1776070008862,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"2raeQ5pLcqSKCnHrgb9SYTCftcuyJC55u16t4Z38pump","trigger":"take_profit","time":1776070028839,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"8DyGhp7fXYaCrnt37z9gQEi3hBX9X3VFwQLsiAXJpump","trigger":"stop_loss","time":1776070028844,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"41FCvTB6fMfr9Zw6FnEK2uMDi6iaK829VNr7QReJpump","trigger":"stop_loss","time":1776070058837,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"HqaSKsQN6HZnwVK9feG3bEdxAGaprpCj9C3GtNDrpump","trigger":"timeout","time":1776070068836,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"G58L3NHeyJHUSJGVpq561mfhdgY17QeXwEA9n6zspump","trigger":"stop_loss","time":1776070068845,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"DqmJwHnhfHFNThTJ6HqMTSdLRdntQoqvEN47LqVspump","trigger":"stop_loss","time":1776070078841,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"22nkNCibLyj2Pmuq6DvBqfYJCx58GMtNiDP3fyMZpump","trigger":"timeout","time":1776070108872,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"FLjRFyNwC3jJyehpugCWe81nLo9xfms2gfZNSwKppump","trigger":"stop_loss","time":1776070108874,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"332Cv8HBsLaHtkAr5ri7bEHtiPUGkCL95AnSakAbpump","trigger":"stop_loss","time":1776070128879,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"cqg16peYM7jL8R2ZgFKtMEP2uwdxqEXK2GzMUwhpump","trigger":"stop_loss","time":1776070148847,"message":"executor: [SIM] sell skipped"}
sol-sniper-bot  | {"level":"info","mint":"91N5SgJVog74GfUknvik7ucmfBsKsXzohdWwYt8Spump","trigger":"stop_loss","time":1776070148852,"message":"executor: [SIM] sell skipped"}
